Name,Roll,Time
user,12,22:01:19
A,1,22:01:19
A,1,22:01:19
user,12,22:01:19
user,12,22:01:19
user,12,22:01:19
user,12,22:01:20
A,1,22:01:20
user,12,22:01:20
A,1,22:01:20
user,12,22:01:20
A,1,22:01:20
A,1,22:01:20
A,1,22:01:20
user,12,22:01:20
A,1,22:01:20
user,12,22:01:21
user,12,22:01:21
user,12,22:01:21
user,12,22:01:21
A,1,22:01:21
A,1,22:01:21
A,1,22:01:21
A,1,22:01:21
user,12,22:01:21
A,1,22:01:21
A,1,22:01:22
user,12,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:22
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
A,1,22:01:23
user,12,22:01:23
user,12,22:01:23
user,12,22:01:24
A,1,22:01:24
user,12,22:01:24
A,1,22:01:24
A,1,22:01:24
A,1,22:01:24
A,1,22:01:24
A,1,22:01:24
A,1,22:01:25
A,1,22:01:25
A,1,22:01:25
A,1,22:01:25
A,1,22:01:25
user,12,22:01:25
A,1,22:01:25
user,12,22:01:25
user,12,22:01:25
user,12,22:01:26
user,12,22:01:26
user,12,22:01:26
user,12,22:01:26
A,1,22:01:26
A,1,22:01:26
user,12,22:01:26
user,12,22:01:26
user,12,22:01:26
user,12,22:01:26
user,12,22:01:27
user,12,22:01:27
A,1,22:01:27
user,12,22:01:27
user,12,22:01:27
user,12,22:01:27
A,1,22:01:27
A,1,22:01:27
user,12,22:01:27
A,1,22:01:27
A,1,22:01:27
A,1,22:01:27
A,1,22:01:27
user,12,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:28
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:29
A,1,22:01:30
A,1,22:01:30
A,1,22:01:30
